stack_mode,position,villain_position,facing_action,hand_class,fold_freq,call_freq,raise_freq,raise_size,valid
100BB,UTG,UTG,UNOPENED,AA,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KK,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,QQ,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,JJ,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,TT,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,99,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,88,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,77,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,66,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,55,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,44,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,33,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,22,43,0,57,2.2,1
100BB,UTG,UTG,UNOPENED,AKs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,AQs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,AJs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,ATs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A9s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A8s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A7s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A6s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A5s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A4s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A3s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,A2s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KQs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KJs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,KTs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K9s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K8s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K7s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K6s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K5s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,K4s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K3s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,K2s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,QJs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,QTs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,Q9s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,Q8s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,Q7s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q6s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q5s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q4s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q3s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,Q2s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,JTs,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,J9s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,J8s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,J7s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J6s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J5s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J4s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J3s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,J2s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T9s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,T8s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,T7s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T6s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T5s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T4s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T3s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,T2s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,98s,0,0,100,2.2,1
100BB,UTG,UTG,UNOPENED,97s,28,0,72,2.2,1
100BB,UTG,UTG,UNOPENED,96s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,95s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,94s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,93s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,92s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,87s,29,0,71,2.2,1
100BB,UTG,UTG,UNOPENED,86s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,85s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,84s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,83s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,82s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,76s,20,0,80,2.2,1
100BB,UTG,UTG,UNOPENED,75s,100,0,0,NONE,1
100BB,UTG,UTG,UNOPENED,74s,100,0,0,NONE,1
