stack_mode,position,facing_action,hand_class,fold_freq,call_freq,raise_freq,raise_size,valid
20BB,BTN,UNOPENED,AJo,30,0,70,2.2,1
20BB,CO,UNOPENED,77,0,0,100,2.2,1
20BB,SB,BLINDS_ONLY,Q8o,55,0,45,2.5,1
20BB,BB,ONE_RAISE,K9s,55,35,10,5,1
20BB,BB,ONE_RAISE,AQs,0,60,40,4,1
20BB,BTN,ONE_RAISE,JJ,0,0,100,jam,1
100BB,UTG,UNOPENED,AKo,0,0,100,2.5,1
100BB,HJ,UNOPENED,ATs,35,0,65,2.5,1
100BB,CO,UNOPENED,54s,45,0,55,2.5,1
100BB,BTN,UNOPENED,KTo,40,0,60,2.5,1
100BB,SB,BLINDS_ONLY,J7s,40,10,50,2.5,1
100BB,BB,THREE_BET,QQ,0,75,25,jam,1
