stack_mode,position,villain_position,facing_action,hand_class,fold_freq,call_freq,raise_freq,raise_size,valid
100BB,BTN,CO,UNOPENED,AA,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KK,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,QQ,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,JJ,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,TT,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,99,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,88,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,77,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,66,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,55,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,44,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,33,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,22,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AKs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AQs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AJs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,ATs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A9s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A8s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A7s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A6s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A5s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A4s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A3s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A2s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KQs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KJs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KTs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K9s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K8s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K7s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K6s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K5s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K4s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K3s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K2s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,QJs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,QTs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q9s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q8s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q7s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q6s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q5s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q4s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q3s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q2s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,JTs,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J9s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J8s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J7s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J6s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J5s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J4s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J3s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J2s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T9s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T8s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T7s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T6s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T5s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T4s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T3s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T2s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,98s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,97s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,96s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,95s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,94s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,93s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,92s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,87s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,86s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,85s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,84s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,83s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,82s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,76s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,75s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,74s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,73s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,72s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,65s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,64s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,63s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,62s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,54s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,53s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,52s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,43s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,42s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,32s,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AKo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AQo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,AJo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,ATo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A9o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A8o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A7o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A6o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A5o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A4o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A3o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,A2o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KQo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KJo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,KTo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K9o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K8o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K7o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K6o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K5o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K4o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K3o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,K2o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,QJo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,QTo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q9o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q8o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q7o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q6o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q5o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q4o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q3o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,Q2o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,JTo,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J9o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J8o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J7o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J6o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J5o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J4o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J3o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,J2o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T9o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T8o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T7o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T6o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T5o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T4o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T3o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,T2o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,98o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,97o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,96o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,95o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,94o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,93o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,92o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,87o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,86o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,85o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,84o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,83o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,82o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,76o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,75o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,74o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,73o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,72o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,65o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,64o,0,0,0,NONE,0
100BB,BTN,CO,UNOPENED,63o,0,0,0,NONE,0
